name,,,text,,,
cairdin,,,@VirginAmerica What @dhepburn said.,,,
jnardino,,,@VirginAmerica plus you've added commercials to the experience... tacky.,,,
yvonnalynn,,,@VirginAmerica I didn't today... Must mean I need to take another trip!,,,
jnardino,,,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,,
jnardino,,,@VirginAmerica and it's a really big bad thing about it,,,
jnardino,,,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,,
cjmcginnis,,,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,,
pilot,,,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,,
dhepburn,,,"@virginamerica Well, I didn't…but NOW I DO! :-D",,,
YupitsTate,,,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,,
idk_but_youtube,,,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,,
HyperCamiLax,,,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,,
HyperCamiLax,,,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,,
mollanderson,,,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,,
sjespers,,,@VirginAmerica Thanks!,,,
smartwatermelon,,,@VirginAmerica SFO-PDX schedule is still MIA.,,,
ItzBrianHunty,,,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,,
heatherovieda,,,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,,
thebrandiray,,,I ❤️ flying @VirginAmerica. ☺️👍,,,
JNLpierce,,,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,,
MISSGJ,,,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,,
DT_Les,,,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,,,
ElvinaBeck,,,@VirginAmerica I love the hipster innovation. You are a feel good brand.,,,
rjlynch21086,,,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,,,
ayeevickiee,,,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,,
Leora13,,,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,,
meredithjlynn,,,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,,
AdamSinger,,,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,,,
blackjackpro911,,,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,,,
TenantsUpstairs,,,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,,,
jordanpichler,,,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",,,
JCervantezzz,,,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,,,
Cuschoolie1,,,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",,,
amanduhmccarty,,,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,,
NorthTxHomeTeam,,,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,,,
miaerolinea,,,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,,
Nicsplace,,,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,,,
Nicsplace,,,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,,
elisha_malulani,,,@VirginAmerica when can I book my flight to Hawaii??,,,
DannyDouglass,,,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,,,
jamesferrandini,,,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",,,
will_lenzenjr,,,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,,
GottAmanda,,,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,,,
KGervaise,,,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,,,
papamurat,,,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,,,
arieldaie,,,@VirginAmerica I'm #elevategold for a good reason: you rock!!,,,
vacations7,,,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,,,
ChelseaPoe666,,,@VirginAmerica wow this just blew my mind,,,
BobGlavinVO,,,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,,,
lisaaiko,,,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,,,
grantbrowne,,,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",,,
joyabsalon,,,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,,,
2v,,,@VirginAmerica wish you flew out of Atlanta... Soon?,,,
KSmithFoundHere,,,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,,,
papamurat,,,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,,,
murphicus,,,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,,,
VinnieFerra,,,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,,,
KevinDemsi,,,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,,,
giffgaffman,,,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,,,
HanlonBrothers,,,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,,,
emilybg78,,,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,,,
rachie1126,,,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,,,
adawson66,,,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",,,
SocialPLC,,,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",,,
jeffreymace01,,,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,,,
1stcrown,,,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,,,
onerockgypsy,,,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,,,
noelduan,,,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",,,
Travelzoo,,,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,,,
gianagon,,,@VirginAmerica everything was fine until you lost my bag,,,
